"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-01","5.82",,"0.00",,"0.0","0.0",,"27","17",,"  230","  220","12.1","16.1","    1",,,,,"    1",,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-02","4.47",,"0.07",,"0.0","0.0",,"33","18",,"  320","  330","13.0","15.0","    1",,,,,"    1",,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-03","11.63",,"0.25",,"2.0","2.0",,"34","18",,"  350","  350","31.1","40.0","    1","    1",,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-04","12.30",,"0.00",,"0.0","2.0",,"31","9",,"  350","  350","25.1","36.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-05","17.00",,"0.00",,"0.0","1.2",,"52","19",,"  220","  220","29.1","40.9","    1",,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-06","6.71",,"0.00",,"0.0","0.0",,"53","29",,"  350","  360","14.1","17.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-07","14.09",,"0.00",,"0.0","0.0",,"36","17",,"   30","   20","32.0","40.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-08","14.99",,"0.00",,"0.0","0.0",,"55","20",,"  240","  230","31.1","38.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-09","10.74",,"0.00",,"0.0","0.0",,"33","23",,"   40","   40","25.1","34.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-10","18.34",,"0.00",,"0.0","0.0",,"46","20",,"  190","  190","30.0","36.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-11","8.05",,"0.00",,"0.0","0.0",,"61","21",,"  190","  190","16.1","21.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-12","12.75",,"0.00",,"0.0","0.0",,"33","19",,"   10","   30","23.0","30.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-13","8.05",,"0.02",,"0.0","0.0",,"37","21",,"  190","  200","14.1","17.0",,,,"    1",,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-14","6.49",,"0.00",,"0.1","0.0",,"34","26",,"  330","  330","12.1","14.1","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-15","8.95",,"0.00",,"0.0","0.0",,"56","23",,"  350","  360","18.1","23.9","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-16","14.76",,"0.00",,"0.0","0.0",,"66","23",,"  210","  200","25.1","33.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-17","14.99",,"0.00",,"0.0","0.0",,"60","29",,"  360","  360","35.1","44.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-18","15.43",,"0.00",,"0.0","0.0",,"69","30",,"  240","  240","36.0","47.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-19","6.93",,"0.00",,"0.0","0.0",,"71","31",,"  180","  160","13.0","16.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-20","11.41",,"0.00",,"0.0","0.0",,"54","31",,"   50","   40","23.0","30.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-21","10.74",,"0.73",,"11.0","0.0",,"43","31",,"   60","   50","21.9","29.1","    1","    1",,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-22","12.53",,"0.14",,"1.0","11.8",,"31","18",,"   50","   50","23.9","28.0","    1","    1",,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-23","8.50",,"0.00",,"0.0","7.1",,"32","11",,"  290","  300","17.0","21.0","    1","    1",,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-24","11.41",,"0.00",,"0.0","5.1",,"45","27",,"  240","  230","19.9","25.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-25","10.51",,"0.00",,"0.0","3.1",,"52","32",,"  310","  310","21.0","25.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-26","10.96",,"0.00",,"0.0","0.0",,"70","35",,"  290","  300","18.1","23.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-27","8.05",,"0.00",,"0.0","0.0",,"73","38",,"  220","  230","16.1","21.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-28","10.74",,"0.00",,"0.0","0.0",,"71","42",,"  300","  220","21.0","27.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-29","13.20",,"0.00",,"0.0","0.0",,"50","37",,"   20","   20","29.1","34.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-30","9.62",,"0.03",,"0.0","0.0",,"40","33",,"  160","  150","16.1","19.9","    1",,,"    1",,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-01-31","9.62",,"0.37",,"0.0","0.0",,"42","33",,"  200","  170","15.0","18.1","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-01","14.76",,"0.00",,"0.0","0.0",,"43","25",,"  360","   10","31.1","36.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-02","12.75",,"0.00",,"0.0","0.0",,"57","20",,"  190","  210","29.1","36.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-03","10.29",,"0.00",,"0.0","0.0",,"64","26",,"  210","  210","18.1","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-04","16.55",,"0.00",,"0.0","0.0",,"53","21",,"   10","   10","36.9","45.0","    1","    1",,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-05","9.62",,"0.00",,"0.0","0.0",,"50","21",,"  210","  210","16.1","19.9","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-06","12.30",,"0.00",,"0.0","0.0",,"82","29",,"  230","  230","19.9","25.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-07","9.62",,"0.00",,"0.0","0.0",,"83","35",,"  290","  290","17.0","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-08","10.51",,"0.00",,"0.0","0.0",,"76","43",,"   20","   10","25.9","31.1",,,,,,,,,,
